date,variable,region,value
2021-06-01,GISAID,Saskatchewan,3406.0
2021-07-01,GISAID,Saskatchewan,0.0
2021-08-01,GISAID,Saskatchewan,1285.0
2021-09-01,GISAID,Saskatchewan,1309.0
2021-10-01,GISAID,Saskatchewan,1463.0
2021-11-01,GISAID,Saskatchewan,4378.0
2021-12-01,GISAID,Saskatchewan,2860.0
2022-01-01,GISAID,Saskatchewan,1384.0
2022-02-01,GISAID,Saskatchewan,2748.0
2022-03-01,GISAID,Saskatchewan,1440.0
2020-10-01,Portal,Alberta,0.0
2020-11-01,Portal,Alberta,0.0
2020-12-01,Portal,Alberta,0.0
2021-01-01,Portal,Alberta,0.0
2021-02-01,Portal,Alberta,0.0
2021-03-01,Portal,Alberta,0.0
2021-04-01,Portal,Alberta,0.0
2021-05-01,Portal,Alberta,0.0
2021-06-01,Portal,Alberta,0.0
2021-07-01,Portal,Alberta,0.0
2021-08-01,Portal,Alberta,9956.0
2021-09-01,Portal,Alberta,0.0
2021-10-01,Portal,Alberta,9781.0
2021-11-01,Portal,Alberta,8003.0
2021-12-01,Portal,Alberta,3061.0
2022-01-01,Portal,Alberta,2104.0
2022-02-01,Portal,Alberta,2217.0
2022-03-01,Portal,Alberta,5239.0
2020-10-01,Portal,British Columbia,0.0
2020-11-01,Portal,British Columbia,0.0
2020-12-01,Portal,British Columbia,0.0
2021-01-01,Portal,British Columbia,0.0
2021-02-01,Portal,British Columbia,0.0
2021-03-01,Portal,British Columbia,0.0
2021-04-01,Portal,British Columbia,0.0
2021-05-01,Portal,British Columbia,0.0
2021-06-01,Portal,British Columbia,0.0
2021-07-01,Portal,British Columbia,0.0
2021-08-01,Portal,British Columbia,0.0
2021-09-01,Portal,British Columbia,22576.0
2021-10-01,Portal,British Columbia,12118.0
2021-11-01,Portal,British Columbia,3.0
2021-12-01,Portal,British Columbia,22833.0
2022-01-01,Portal,British Columbia,0.0
2022-02-01,Portal,British Columbia,1.0
2022-03-01,Portal,British Columbia,44159.0
2020-10-01,Portal,Canada,0.0
2020-11-01,Portal,Canada,0.0
2020-12-01,Portal,Canada,0.0
2021-01-01,Portal,Canada,0.0
2021-02-01,Portal,Canada,0.0
2021-03-01,Portal,Canada,0.0
2021-04-01,Portal,Canada,0.0
2021-05-01,Portal,Canada,0.0
2021-06-01,Portal,Canada,0.0
2021-07-01,Portal,Canada,6127.0
2021-08-01,Portal,Canada,21630.0
2021-09-01,Portal,Canada,22576.0
2021-10-01,Portal,Canada,27990.0
2021-11-01,Portal,Canada,22165.0
2021-12-01,Portal,Canada,30766.0
2022-01-01,Portal,Canada,22606.0
2022-02-01,Portal,Canada,30372.0
2022-03-01,Portal,Canada,67503.0
2020-10-01,Portal,Manitoba,0.0
2020-11-01,Portal,Manitoba,0.0
2020-12-01,Portal,Manitoba,0.0
2021-01-01,Portal,Manitoba,0.0
2021-02-01,Portal,Manitoba,0.0
2021-03-01,Portal,Manitoba,0.0
2021-04-01,Portal,Manitoba,0.0
2021-05-01,Portal,Manitoba,0.0
2021-06-01,Portal,Manitoba,0.0
2021-07-01,Portal,Manitoba,0.0
2021-08-01,Portal,Manitoba,0.0
2021-09-01,Portal,Manitoba,0.0
2021-10-01,Portal,Manitoba,1021.0
2021-11-01,Portal,Manitoba,0.0
2021-12-01,Portal,Manitoba,0.0
2022-01-01,Portal,Manitoba,0.0
2022-02-01,Portal,Manitoba,1517.0
2022-03-01,Portal,Manitoba,0.0
2020-10-01,Portal,New Brunswick,0.0
2020-11-01,Portal,New Brunswick,0.0
2020-12-01,Portal,New Brunswick,0.0
2021-01-01,Portal,New Brunswick,0.0
2021-02-01,Portal,New Brunswick,0.0
2021-03-01,Portal,New Brunswick,0.0
2021-04-01,Portal,New Brunswick,0.0
2021-05-01,Portal,New Brunswick,0.0
2021-06-01,Portal,New Brunswick,0.0
2021-07-01,Portal,New Brunswick,0.0
2021-08-01,Portal,New Brunswick,0.0
2021-09-01,Portal,New Brunswick,0.0
